date,dau,wau,mau,total_events,sessions,avg_session_duration_minutes,total_session_duration_minutes,stickiness_dau_mau,events_per_active_user,sessions_per_active_user
2024-01-05,1,1,1,1,1,7.22,7.22,100.0,1.0,1.0
2024-01-06,1,2,2,1,1,4.58,4.58,50.0,1.0,1.0
2024-01-07,2,4,4,2,2,11.51,23.02,50.0,1.0,1.0
2024-01-08,4,8,8,5,4,3.746,18.73,50.0,1.25,1.0
2024-01-09,4,11,11,4,4,5.0325,20.13,36.36363636363637,1.0,1.0
2024-01-10,3,14,14,3,3,7.5200000000000005,22.560000000000002,21.428571428571427,1.0,1.0
2024-01-11,9,23,23,9,9,10.165555555555557,91.49000000000001,39.130434782608695,1.0,1.0
2024-01-12,4,26,27,4,4,8.365,33.46,14.814814814814813,1.0,1.0
2024-01-13,5,30,32,5,5,11.568000000000001,57.84,15.625,1.0,1.0
2024-01-14,5,33,36,5,5,8.606,43.03,13.88888888888889,1.0,1.0
2024-01-15,7,36,43,7,7,7.195714285714286,50.37,16.27906976744186,1.0,1.0
2024-01-16,8,40,50,8,8,5.835,46.68,16.0,1.0,1.0
2024-01-17,3,40,52,3,3,6.026666666666667,18.080000000000002,5.769230769230769,1.0,1.0
2024-01-18,9,39,60,9,9,8.818888888888889,79.37,15.0,1.0,1.0
2024-01-19,5,40,65,5,5,10.706,53.53,7.6923076923076925,1.0,1.0
2024-01-20,10,45,73,11,11,6.669090909090909,73.36,13.698630136986301,1.1,1.1
2024-01-21,17,56,87,17,17,8.080588235294117,137.37,19.54022988505747,1.0,1.0
2024-01-22,9,58,95,9,9,5.487777777777778,49.39,9.473684210526317,1.0,1.0
2024-01-23,16,66,109,16,16,7.063124999999999,113.00999999999999,14.678899082568808,1.0,1.0
2024-01-24,14,75,121,14,14,8.964285714285714,125.5,11.570247933884298,1.0,1.0
2024-01-25,12,78,130,12,12,7.890000000000001,94.68,9.230769230769232,1.0,1.0
2024-01-26,15,87,140,15,15,6.38,95.7,10.714285714285714,1.0,1.0
2024-01-27,21,96,159,21,21,6.997142857142857,146.94,13.20754716981132,1.0,1.0
2024-01-28,28,103,179,28,28,8.07,225.96,15.64245810055866,1.0,1.0
2024-01-29,29,119,198,29,29,7.246551724137931,210.15,14.646464646464647,1.0,1.0
2024-01-30,26,129,210,26,26,9.019615384615385,234.51,12.380952380952381,1.0,1.0
2024-01-31,27,142,231,27,27,8.064814814814815,217.75,11.688311688311687,1.0,1.0
2024-02-01,33,161,253,35,34,8.887142857142857,311.05,13.043478260869565,1.0606060606060606,1.0303030303030303
2024-02-02,24,173,272,24,24,8.410833333333333,201.85999999999999,8.823529411764707,1.0,1.0
2024-02-03,28,180,289,28,28,8.381071428571428,234.67,9.688581314878892,1.0,1.0
2024-02-04,23,174,303,23,23,7.0056521739130435,161.13,7.590759075907591,1.0,1.0
2024-02-05,26,171,315,26,26,7.881153846153846,204.91,8.253968253968253,1.0,1.0
2024-02-06,32,179,338,32,32,8.441875,270.14,9.467455621301776,1.0,1.0
2024-02-07,38,187,360,39,39,7.908974358974358,308.45,10.555555555555555,1.0263157894736843,1.0263157894736843
2024-02-08,37,194,387,38,38,8.021052631578948,304.8,9.560723514211885,1.027027027027027,1.027027027027027
2024-02-09,30,199,406,30,30,7.641,229.23,7.389162561576355,1.0,1.0
2024-02-10,47,215,431,47,47,8.009148936170213,376.43,10.904872389791183,1.0,1.0
2024-02-11,39,228,453,40,40,7.710249999999999,308.40999999999997,8.609271523178808,1.0256410256410255,1.0256410256410255
2024-02-12,46,248,479,48,48,6.943124999999999,333.27,9.603340292275574,1.0434782608695652,1.0434782608695652
2024-02-13,46,260,498,48,47,7.393958333333334,354.91,9.236947791164658,1.0434782608695652,1.0217391304347827
