cohort_month,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23,Month_24,Month_25,Month_26,Month_27,Month_28,Month_29,Month_30
2024-01-01,100.0,300.86580086580085,344.15584415584414,367.53246753246754,380.08658008658006,372.7272727272727,374.45887445887445,375.75757575757575,380.08658008658006,369.6969696969697,367.53246753246754,358.008658008658,363.6363636363636,341.5584415584416,346.3203463203463,339.82683982683983,329.87012987012986,314.71861471861473,312.1212121212121,298.7012987012987,282.25108225108227,270.995670995671,262.3376623376624,253.24675324675323,241.99134199134198,216.8831168831169,196.10389610389612,200.43290043290045,178.35497835497836,170.995670995671,416.8831168831168
2024-02-01,100.0,298.2300884955752,350.0,370.79646017699116,371.23893805309734,384.95575221238937,379.20353982300884,380.9734513274336,380.53097345132744,368.5840707964602,372.5663716814159,361.94690265486724,344.24778761061947,362.8318584070796,344.24778761061947,343.8053097345133,334.070796460177,315.929203539823,300.0,290.2654867256637,284.070796460177,261.0619469026548,250.88495575221236,246.46017699115043,209.73451327433628,207.5221238938053,198.23008849557522,190.7079646017699,188.93805309734512,411.5044247787611,
2024-03-01,100.0,264.51612903225805,307.5268817204301,320.4301075268817,334.0501792114695,331.5412186379928,326.52329749103944,328.673835125448,326.1648745519713,321.8637992831541,317.2043010752688,302.8673835125448,313.9784946236559,296.7741935483871,296.7741935483871,288.5304659498208,286.37992831541214,277.4193548387097,260.21505376344084,249.10394265232975,228.67383512544802,227.59856630824373,220.07168458781362,186.3799283154122,202.1505376344086,176.70250896057348,164.51612903225808,160.57347670250897,354.83870967741933,,
2024-04-01,100.0,264.3835616438356,300.6849315068493,312.32876712328766,312.67123287671234,317.8082191780822,315.75342465753425,313.01369863013696,318.1506849315069,307.5342465753425,300.6849315068493,307.5342465753425,295.2054794520548,294.52054794520546,283.9041095890411,277.3972602739726,267.1232876712329,254.7945205479452,246.57534246575344,239.3835616438356,224.65753424657535,216.0958904109589,181.84931506849315,196.57534246575344,183.56164383561645,165.06849315068493,153.76712328767124,341.0958904109589,,,
2024-05-01,100.0,250.1597444089457,288.81789137380196,300.63897763578274,297.7635782747604,305.43130990415335,305.75079872204475,308.94568690095844,296.80511182108626,291.3738019169329,294.56869009584665,289.4568690095847,278.594249201278,270.60702875399363,270.926517571885,258.7859424920128,244.72843450479235,248.24281150159746,233.54632587859422,218.21086261980832,212.1405750798722,198.40255591054313,190.4153354632588,183.06709265175718,163.57827476038338,153.03514376996804,323.0031948881789,,,,
2024-06-01,100.0,279.1208791208791,306.2271062271062,326.3736263736264,325.27472527472526,319.0476190476191,324.90842490842493,323.8095238095238,311.72161172161174,316.8498168498168,313.9194139194139,304.76190476190476,294.50549450549454,292.67399267399264,297.43589743589746,257.87545787545787,261.9047619047619,259.34065934065933,250.54945054945054,233.33333333333334,204.76190476190476,208.79120879120882,186.08058608058607,180.21978021978023,158.24175824175825,341.75824175824175,,,,,
2024-07-01,100.0,254.40251572327045,285.8490566037736,294.33962264150944,299.685534591195,302.5157232704403,300.62893081761007,294.6540880503145,293.39622641509436,290.8805031446541,288.36477987421387,280.50314465408803,276.4150943396226,267.29559748427675,255.34591194968553,259.433962264151,240.56603773584902,234.27672955974842,221.69811320754715,199.0566037735849,206.60377358490564,188.0503144654088,171.0691823899371,146.22641509433961,315.7232704402516,,,,,,
2024-08-01,100.0,219.68085106382978,241.22340425531914,247.6063829787234,254.52127659574467,251.32978723404253,249.468085106383,253.98936170212764,244.41489361702128,242.28723404255322,242.55319148936172,238.29787234042553,224.7340425531915,221.80851063829786,215.69148936170214,207.44680851063828,200.0,191.22340425531914,172.0744680851064,177.6595744680851,161.70212765957444,150.531914893617,133.77659574468086,260.9042553191489,,,,,,,
2024-09-01,100.0,239.09574468085108,253.45744680851064,259.8404255319149,267.8191489361702,260.9042553191489,264.3617021276596,260.1063829787234,259.5744680851064,256.9148936170213,253.72340425531914,247.8723404255319,242.81914893617022,234.8404255319149,227.6595744680851,212.7659574468085,208.77659574468086,177.6595744680851,179.25531914893617,172.87234042553192,163.56382978723406,136.968085106383,273.67021276595744,,,,,,,,
2024-10-01,100.0,231.15183246073298,247.9057591623037,255.23560209424085,256.544502617801,255.4973821989529,257.06806282722516,253.92670157068062,249.4764397905759,246.8586387434555,239.00523560209425,235.60209424083772,231.93717277486908,216.2303664921466,218.06282722513092,207.32984293193718,188.48167539267016,179.3193717277487,168.0628272251309,160.7329842931937,146.07329842931938,263.6125654450262,,,,,,,,,
