cohort_month,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30
2024-01-01,100.0,80.51948051948052,84.4155844155844,90.9090909090909,92.20779220779221,92.64069264069265,90.04329004329004,89.17748917748918,93.93939393939394,88.31168831168831,86.58008658008657,83.54978354978356,84.4155844155844,81.38528138528139,84.84848484848484,82.68398268398268,80.95238095238095,78.35497835497836,74.02597402597402,76.62337662337663,69.26406926406926,71.42857142857143,64.93506493506493,63.20346320346321,57.14285714285714,54.54545454545454,51.082251082251084,48.05194805194805,43.290043290043286,37.66233766233766,100.0
2024-02-01,100.0,83.12925170068027,88.57142857142857,90.61224489795919,90.06802721088435,91.15646258503402,91.56462585034014,91.15646258503402,91.02040816326532,89.79591836734694,87.34693877551021,88.70748299319729,83.53741496598639,84.21768707482993,82.58503401360544,79.8639455782313,76.59863945578232,76.32653061224491,70.20408163265306,68.29931972789116,66.25850340136054,62.99319727891156,61.36054421768707,60.544217687074834,51.29251700680272,48.16326530612245,47.074829931972786,44.353741496598644,43.53741496598639,99.72789115646259,
2024-03-01,100.0,83.54564755838642,89.171974522293,89.80891719745223,92.99363057324841,91.18895966029724,90.12738853503186,91.18895966029724,91.0828025477707,90.23354564755839,86.94267515923568,82.16560509554141,87.79193205944799,82.6963906581741,83.97027600849258,81.42250530785563,77.49469214437367,74.84076433121018,71.54989384288747,69.2144373673036,63.16348195329087,60.72186836518046,58.3864118895966,52.547770700636946,50.530785562632694,48.938428874734605,45.75371549893843,46.70912951167728,99.25690021231422,,
2024-04-01,100.0,84.63796477495109,89.33463796477496,92.56360078277886,92.66144814090019,92.66144814090019,90.90019569471625,89.53033268101761,90.21526418786692,88.94324853228963,85.71428571428571,87.67123287671232,83.17025440313111,82.38747553816047,78.9628180039139,77.59295499021526,76.1252446183953,71.23287671232876,68.68884540117418,65.06849315068493,63.79647749510763,63.20939334637965,53.03326810176125,55.57729941291585,48.92367906066536,45.79256360078278,43.6399217221135,99.11937377690802,,,
2024-05-01,100.0,85.67441860465117,89.86046511627906,91.25581395348837,92.09302325581396,92.46511627906978,90.88372093023256,92.18604651162791,89.3953488372093,88.09302325581395,88.55813953488372,86.6046511627907,84.46511627906976,81.76744186046511,81.3953488372093,77.95348837209303,74.69767441860465,71.81395348837209,68.37209302325581,66.79069767441861,62.23255813953489,52.0,56.83720930232559,55.44186046511628,49.860465116279066,45.11627906976744,98.88372093023256,,,,
2024-06-01,100.0,87.65432098765432,91.1522633744856,92.07818930041152,93.72427983539094,93.62139917695474,93.62139917695474,91.46090534979425,89.60905349794238,91.2551440329218,87.65432098765432,86.21399176954732,84.6707818930041,83.7448559670782,81.27572016460906,73.86831275720165,75.7201646090535,71.81069958847736,65.84362139917695,66.56378600823045,61.72839506172839,59.36213991769548,53.70370370370371,50.0,46.70781893004115,99.38271604938271,,,,,
2024-07-01,100.0,86.41148325358851,93.01435406698565,92.82296650717703,92.91866028708135,95.02392344497608,93.97129186602871,89.18660287081339,91.77033492822967,90.7177033492823,88.32535885167464,85.35885167464114,84.49760765550239,82.96650717703349,76.17224880382774,77.79904306220095,76.55502392344498,71.29186602870813,66.50717703349282,58.66028708133971,61.4354066985646,55.885167464114836,51.196172248803826,44.21052631578947,99.33014354066985,,,,,,
2024-08-01,100.0,89.34579439252337,93.83177570093459,93.64485981308411,95.42056074766356,95.23364485981308,92.61682242990655,93.64485981308411,92.99065420560748,91.77570093457945,90.09345794392523,89.43925233644859,87.00934579439252,82.71028037383178,79.53271028037383,74.85981308411215,76.35514018691589,72.33644859813084,63.925233644859816,66.6355140186916,60.65420560747663,54.39252336448598,49.532710280373834,99.34579439252337,,,,,,,
2024-09-01,100.0,89.1732283464567,93.40551181102363,95.47244094488188,96.16141732283464,95.2755905511811,95.3740157480315,92.32283464566929,93.11023622047244,91.14173228346458,89.37007874015748,84.84251968503938,83.46456692913385,83.66141732283464,79.13385826771653,74.50787401574803,71.8503937007874,65.84645669291339,65.35433070866141,60.629921259842526,59.35039370078739,48.4251968503937,99.11417322834646,,,,,,,,
2024-10-01,100.0,91.81395348837209,94.51162790697674,95.72093023255815,95.44186046511628,95.34883720930233,95.16279069767441,93.30232558139535,92.74418604651163,92.09302325581396,89.67441860465117,88.0,84.65116279069768,83.62790697674419,78.6046511627907,74.51162790697674,65.86046511627906,65.3953488372093,63.627906976744185,58.04651162790697,52.74418604651163,99.34883720930232,,,,,,,,,
2024-11-01,100.0,92.2360248447205,95.75569358178055,95.13457556935818,96.68737060041408,96.16977225672878,95.44513457556936,94.20289855072464,93.68530020703933,90.1656314699793,89.02691511387164,88.6128364389234,81.36645962732919,82.29813664596274,80.12422360248446,70.39337474120083,67.59834368530021,62.52587991718427,59.21325051759835,53.83022774327122,99.4824016563147,,,,,,,,,,
2024-12-01,100.0,93.81443298969072,95.68884723523898,96.90721649484536,96.53233364573572,96.62605435801312,96.25117150890347,95.0328022492971,93.06466729147141,91.5651358950328,91.94001874414246,86.69165885660732,84.81724461105904,80.22492970946578,73.85192127460168,74.13308341143393,67.94751640112466,63.16776007497656,59.32521087160263,99.15651358950328,,,,,,,,,,,
2025-01-01,100.0,93.80692167577413,97.26775956284153,96.81238615664846,96.63023679417122,97.632058287796,95.71948998178506,95.62841530054644,93.6247723132969,91.89435336976321,89.79963570127505,84.51730418943534,84.15300546448088,76.22950819672131,75.5009107468124,71.12932604735883,64.38979963570127,57.46812386156649,99.54462659380692,,,,,,,,,,,,
2025-02-01,100.0,95.48254620123203,97.74127310061603,98.04928131416838,96.91991786447639,97.43326488706366,96.30390143737166,95.27720739219713,95.07186858316223,91.17043121149896,88.7063655030801,85.52361396303901,79.97946611909651,79.67145790554414,71.7659137577002,68.78850102669405,62.62833675564682,99.48665297741273,,,,,,,,,,,,,
