month,new_users,monthly_active_users,new_user_share_pct,returning_user_share_pct
2024-01-01,964.0,231,417.31601731601734,-317.31601731601734
2024-02-01,937.0,921,101.73724212812161,-1.7372421281216077
2024-03-01,1002.0,1748,57.32265446224256,42.67734553775744
2024-04-01,1004.0,2670,37.60299625468165,62.39700374531835
2024-05-01,1020.0,3659,27.876468980595792,72.12353101940421
2024-06-01,941.0,4528,20.781802120141343,79.21819787985865
2024-07-01,1006.0,5563,18.083767751213376,81.91623224878663
2024-08-01,993.0,6525,15.2183908045977,84.7816091954023
2024-09-01,1037.0,7512,13.80457933972311,86.1954206602769
2024-10-01,1015.0,8521,11.91174744748269,88.0882525525173
2024-11-01,1011.0,9395,10.761043108036189,89.23895689196381
2024-12-01,1004.0,10466,9.59296770494936,90.40703229505064
2025-01-01,1018.0,11456,8.886173184357542,91.11382681564245
2025-02-01,969.0,12131,7.987799851619817,92.01220014838019
2025-03-01,1022.0,13395,7.629712579320643,92.37028742067936
2025-04-01,953.0,14148,6.7359344076901335,93.26406559230986
2025-05-01,1013.0,15033,6.738508614381694,93.2614913856183
2025-06-01,954.0,15825,6.028436018957346,93.97156398104265
2025-07-01,1006.0,16699,6.024312833103779,93.97568716689622
2025-08-01,1051.0,17439,6.026721715694707,93.9732782843053
2025-09-01,1014.0,18017,5.628017983016041,94.37198201698396
2025-10-01,1081.0,18977,5.696369289139485,94.30363071086052
2025-11-01,949.0,19370,4.899328859060403,95.1006711409396
2025-12-01,1028.0,19995,5.141285321330333,94.85871467866967
2026-01-01,1030.0,20641,4.990068310643864,95.00993168935614
2026-02-01,917.0,20243,4.529960974163909,95.47003902583609
2026-03-01,1006.0,21187,4.748194647661301,95.25180535233869
2026-04-01,1015.0,21257,4.774897680763983,95.22510231923602
2026-05-01,1001.0,21414,4.6745120014943495,95.32548799850565
2026-06-01,1039.0,21156,4.911136320665532,95.08886367933447
2026-07-01,0.0,29857,0.0,100.0
