threshold,precision,recall,f1,customers_flagged
0.1,0.014205715226879684,0.9274193548387096,0.02798280476924325,72858
0.15000000000000002,0.015533088235294118,0.9086021505376344,0.0305440086752214,65280
0.20000000000000004,0.016831333209903557,0.8960573476702509,0.03304201291942705,59413
0.25000000000000006,0.018132566753275473,0.8817204301075269,0.03553436975245111,54267
0.30000000000000004,0.01922458818802732,0.8575268817204301,0.03760609871109714,49780
0.3500000000000001,0.02027886175297058,0.828853046594982,0.03958912903916114,45614
0.40000000000000013,0.02118746087542736,0.7885304659498208,0.04126611957796014,41534
0.45000000000000007,0.02240528066974348,0.7482078853046595,0.0435077115464777,37268
0.5000000000000001,0.023501726719843526,0.6890681003584229,0.04545320211602683,32721
0.5500000000000002,0.02517228871962278,0.6218637992831542,0.0483859722512724,27570
0.6000000000000002,0.026932737929109683,0.5188172043010753,0.05120721676837357,21498
0.6500000000000001,0.031119049254654117,0.40591397849462363,0.05780641868180948,14557
0.7000000000000002,0.03540380496409223,0.2517921146953405,0.06207886888324313,7937
0.7500000000000002,0.03919694072657744,0.07347670250896057,0.05112219451371571,2092
0.8000000000000002,0.020202020202020204,0.0017921146953405018,0.0032921810699588477,99
0.8500000000000002,0.1,0.0008960573476702509,0.0017761989342806395,10
0.9000000000000002,0.25,0.0008960573476702509,0.0017857142857142857,4
